Designator,Footprint,Quantity,Value,LCSC Part #,Link
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145,https://www.lcsc.com/product-detail/C2889258.html?s_z=n_q_TF-01A&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1NTT1dbVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
D1,402,1,LED,,https://www.lcsc.com/product-detail/C965793.html?s_z=n_q_XL-1005UGC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdWV1NeR1lWVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRQFJADxALGw%3D%3D
D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,,https://www.aliexpress.us/item/3256812215746950.html?spm=a2g0o.productlist.main.1.179628e6a0iLXy&algo_pvid=fb2e529b-b642-49e9-ac2a-7ce69e470f4f&algo_exp_id=fb2e529b-b642-49e9-ac2a-7ce69e470f4f-0&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.64%213.09%21%21%2124.30%2120.65%21%402101ef5e17877527155554961e0d2c%2112000058278809802%21sea%21US%217130607314%21X%211%210%21n_tag%3A-29919%3Bd%3A894a1d6a%3Bm03_new_user%3A-29895&curPageLogUid=OtKo3ZWj1teS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012402061702%7C_p_origin_prod%3A&_gl=1*1ejlbkr*_gcl_aw*R0NMLjE3ODc1MDQzNzUuQ2p3S0NBand0S3JVQmhBaEVpd0FyNzdab2c3WHJES3JPeU1fNGhkQjFoT3YxRWtOSU95YlZLaEZDa0xYbm9OaFJRVDdJbkx6T0pvcTZCb0N3TTRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3ODc1MDQzNzUuQ2p3S0NBand0S3JVQmhBaEVpd0FyNzdab2c3WHJES3JPeU1fNGhkQjFoT3YxRWtOSU95YlZLaEZDa0xYbm9OaFJRVDdJbkx6T0pvcTZCb0N3TTRRQXZEX0J3RQ..*_gcl_au*ODY4OTkwODM1LjE3ODQzMDkzMjA.*_ga*MTQxMDkyNTMzMC4xNzg3NzUxMDE5*_ga_VED1YSGNC7*czE3ODc3NTEwMTgkbzEkZzEkdDE3ODc3NTI3MTckajU2JGwwJGgw
"J1, J6, J7",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,3,Screw_Terminal_01x02,,https://tinyurl.com/4t54j69v
"J2, J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03,,https://tinyurl.com/u3jnrvzz
J8,JST_BM05B-GHS-TBT_LF__SN__N_,1,BM05B-GHS-TBT_LF__SN__N_,,https://tinyurl.com/397bn54r
L4,L0603,1,FCM1608KF-601T03,C141723,https://www.lcsc.com/product-detail/C141723.html?s_z=n_q_FCM1608KF-601T03&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFVWQlddUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
L5,L2520,1,DFE252012F-1R0M=P2,C435392,https://www.lcsc.com/product-detail/C435392.html?s_z=n_q_DFE252012F-1R0M%253DP2&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFVUQFZWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlZeSQwSGg0%3D
L6,IND-SMD_L4.0-W4.0-A,1,XFL4020-152MEC,C3033018,https://www.lcsc.com/product-detail/C3033018.html?s_z=n_q_XFL4020-152MEC&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFVST1BbUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D
L7,IND-SMD_L3.0-W3.0,1,YHNR3015-5R6M,C18236327,https://www.lcsc.com/product-detail/C18236327.html?s_z=n_q_YHNR3015-5R6M&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFZWQldeUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D
"Q1, Q2",SOT-23,2,AO3400A,,https://www.lcsc.com/product-detail/C20917.html?s_z=n_q_p_Transistor_FET%253AAO3400A&spm=wm.ssy.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFZbV1NWTlFbVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldZVlVIHxUDCw%3D%3D
"R1, R2",201,2,5.1K,,https://www.lcsc.com/product-detail/C270344.html?s_z=n_q_0201WMF5101TEE&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFZVT1leVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D
"R10, R11, R12, R13, R16, R17, R18, R19, R20, R21, R22, R23, R26, R28, R30, R6, R7, R8, R9",201,19,10K,,https://www.lcsc.com/product-detail/C7467266.html?s_z=n_q_FRC0201J103%2520TS&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVF1SR1BeUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
R14,402,1,100K,,https://www.lcsc.com/product-detail/C25741.html?s_z=n_q_0402WGF1003TCE&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFdXR1FeVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
R15,402,1,22.1K,,https://www.lcsc.com/product-detail/C43473.html?s_z=n_q_0402WGF2212TCE&spm=wm.fly.bg.0.xh&lcsc_vid=FgNbXwUEQVNfUgECT1gMUwEDRwUIAwVfFQUMUQBTRVIxVlNeQFdXVFdVQ1dfXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
